-1,0,0,http://state=19945206/foto-4/login.html&lr=76&lr=21&dispol-1/bage-3_model=221&brand=bpc bonprix_ru_202_ru_1_ru_1_ru_ru_5_ru_1_ru_202_ru_1}%2Fclid,http://irr.ru/index.php?showalbum/login-kapusta-advert2668]=0&order_by=0&price,10
1,0,0,http://mysw.info/node/215455&text,http://irr.ru/index.php?showalbum/login-nanos_1148217/replies/tag/Гомелья&stt=0&view/23/women.irr.ru%26bt%3Dad.adriversion,10
-1,0,0,http://state=19945206/foto-4/login-2491724/?bundlers/search?text,http://irr.ru/index.php?showalbum/login-kapusta-advert26098-1.13738395&op_product_name=Юбки,10
-1,0,0,http://state=19945206/foto-4/login-2006/makumiroshoowbiz/down%2Fholodilnik.ru/76581369,http://irr.ru/index.php?showalbum/login-kapusta-advertika/search/room=1&damage=10&can_be_checked,10
-1,0,0,http://state=19945206/foto-4/login-2006/makumirostova.ru/region.1/secondary/search?new=2&price,"http://irr.ru/index.php?showalbum/login-leniya7777294,938303130",10
1,0,0,https://doma.ru/sale/search,http://komme%2F2.10,10
5,0,0,http://state=19&m_staraya-obl,http://sslow_135000008&position=search,10
-1,0,0,http://kinopoisk.ru/?state,http://irr.ru/index.php?showalbum/login-siezona-svetabila.moikrug.ru/idbor/page,10
-1,0,0,http://go.mail.ru/yandsearch?lr,http://komme%2F27.0.1453.116,10
1,0,0,http://mysw.info/node/215455&text,http://irr.ru/index.php?showalbum/logabass.ru/cation&op_cated_country=-1,10
